name,loc,year,env,Yield.Mg.ha
A00188-3C,MI,2012,MI_2012,36.43
A00188-3C,MI,2012,MI_2012,42.5
A01143-3C,MI,2012,MI_2012,42.5
A01143-3C,MI,2012,MI_2012,57.69
A03440-2C,MI,2012,MI_2012,33.4
A07117-2C,MI,2012,MI_2012,45.54
AC00206-2W,MI,2012,MI_2012,36.43
AC00206-2W,MI,2012,MI_2012,39.47
AC01151-5W,MI,2012,MI_2012,27.32
AC01151-5W,MI,2012,MI_2012,36.43
AC03452-2W,MI,2012,MI_2012,42.5
AC03452-2W,MI,2012,MI_2012,60.72
AC05153-1W,MI,2012,MI_2012,30.36
AC05153-1W,MI,2012,MI_2012,30.36
Accumulator,MI,2012,MI_2012,51.61
Accumulator,MI,2012,MI_2012,54.65
AF4157-6,MI,2012,MI_2012,27.32
AF4157-6,MI,2012,MI_2012,33.4
AF4442-4,MI,2012,MI_2012,57.69
AF4552-5,MI,2012,MI_2012,42.5
AF4573-2,MI,2012,MI_2012,48.58
AF4640-1,MI,2012,MI_2012,42.5
AF4648-2,MI,2012,MI_2012,30.36
AF4648-2,MI,2012,MI_2012,39.47
AF4736-10,MI,2012,MI_2012,24.29
AF4740-1,MI,2012,MI_2012,42.5
AF4747-5,MI,2012,MI_2012,36.43
AF4971-3,MI,2012,MI_2012,45.54
AF4975-3,MI,2012,MI_2012,33.4
Atlantic,MI,2012,MI_2012,42.5
Atlantic,MI,2012,MI_2012,45.54
Atlantic,MI,2012,MI_2012,51.61
CO00270-7W,MI,2012,MI_2012,33.4
CO00270-7W,MI,2012,MI_2012,42.5
CO02024-9W,MI,2012,MI_2012,39.47
CO02024-9W,MI,2012,MI_2012,45.54
CO02033-1W,MI,2012,MI_2012,27.32
CO02033-1W,MI,2012,MI_2012,39.47
CO03243-3W,MI,2012,MI_2012,39.47
CO03243-3W,MI,2012,MI_2012,48.58
CO05061-2P,MI,2012,MI_2012,24.29
CO05061-2P,MI,2012,MI_2012,30.36
CO05061-6W,MI,2012,MI_2012,36.43
CO05061-6W,MI,2012,MI_2012,51.61
